,algo,startNode/endNode,budget,userID,totalPOI,totalCost,totalProfit,totalInterest,reachEndNode,totalPopInt,maxInterest,minInterest,tour,cluster,groupID
0,clusterOnce,7,163.51700954486938,74547255@N00,7,624.435606389711,4.926846933848382,0.061106998930833115,True,2.4939769663896074,0.020560901389916935,0.0,7-21-22-7-11-7-6-23-7,random,1.0
1,clusterOnce,7,163.51700954486938,56946277@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
2,clusterOnce,7,163.51700954486938,76323119@N00,7,624.435606389711,4.926846933848382,2.820887918486171,True,3.8738674261672763,1.0,0.0015283842794759806,7-21-22-7-11-7-6-23-7,random,1.0
3,clusterOnce,7,163.51700954486938,50034279@N00,7,624.435606389711,4.926846933848382,2.3622568630155887,True,3.6445518984319856,1.0,0.002896951303628084,7-21-22-7-11-7-6-23-7,random,1.0
4,clusterOnce,7,163.51700954486938,10297518@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
5,clusterOnce,7,163.51700954486938,35034363039@N01,7,624.435606389711,4.926846933848382,5.706170975655783,True,5.3165089547520825,1.0,0.03006856639617532,7-21-22-7-11-7-6-23-7,random,1.0
6,clusterOnce,7,163.51700954486938,12925338@N07,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
7,clusterOnce,7,163.51700954486938,12659736@N02,7,624.435606389711,4.926846933848382,2.0,True,3.463423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
8,clusterOnce,7,163.51700954486938,51668926@N00,7,624.435606389711,4.926846933848382,5.967206132879044,True,5.447026533363713,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
9,clusterOnce,7,163.51700954486938,70307237@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
10,clusterOnce,7,163.51700954486938,73416633@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
11,clusterOnce,7,163.51700954486938,51465598@N02,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
12,clusterOnce,7,163.51700954486938,25964835@N02,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
13,clusterOnce,7,163.51700954486938,8070489@N02,7,624.435606389711,4.926846933848382,2.6370802919708036,True,3.7819636129095926,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
14,clusterOnce,7,163.51700954486938,53025862@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
15,clusterOnce,7,163.51700954486938,98715075@N00,7,624.435606389711,4.926846933848382,0.0008021390374331547,True,2.4638245364429077,0.00040106951871657733,0.0,7-21-22-7-11-7-6-23-7,random,1.0
16,clusterOnce,7,163.51700954486938,34427466731@N01,7,624.435606389711,4.926846933848382,1.559499888367939,True,3.2431734111081605,0.8070997990622899,0.0,7-21-22-7-11-7-6-23-7,random,1.0
17,clusterOnce,7,163.51700954486938,22979982@N06,7,624.435606389711,4.926846933848382,1.0,True,2.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
18,clusterOnce,7,163.51700954486938,21116747@N02,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
19,clusterOnce,7,163.51700954486938,52215743@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,1.0
20,clusterOnce,7,163.51700954486938,8389569@N08,6,598.0471872050493,5.082810236600676,2.0,True,3.541405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
21,clusterOnce,7,163.51700954486938,61377999@N03,6,598.0471872050493,5.082810236600676,0.05662046593925084,True,2.5697153512699633,0.02831023296962542,0.0,7-21-22-7-11-7-1-7,random,2.0
22,clusterOnce,7,163.51700954486938,15588970@N02,6,598.0471872050493,5.082810236600676,1.0,True,3.041405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
23,clusterOnce,7,163.51700954486938,52835300@N00,6,598.0471872050493,5.082810236600676,4.0,True,4.541405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
24,clusterOnce,7,163.51700954486938,78266179@N00,6,598.0471872050493,5.082810236600676,0.0,True,2.541405118300338,0.0,0.0,7-21-22-7-11-7-1-7,random,2.0
25,clusterOnce,7,163.51700954486938,82405581@N00,6,598.0471872050493,5.082810236600676,1.1404551201011377,True,3.111632678350907,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
26,clusterOnce,7,163.51700954486938,64005175@N00,6,598.0471872050493,5.082810236600676,4.419940207189043,True,4.751375221894859,1.0,0.026559132308975875,7-21-22-7-11-7-1-7,random,2.0
27,clusterOnce,7,163.51700954486938,49033510@N00,6,598.0471872050493,5.082810236600676,0.0,True,2.541405118300338,0.0,0.0,7-21-22-7-11-7-1-7,random,2.0
28,clusterOnce,7,163.51700954486938,26736723@N00,6,598.0471872050493,5.082810236600676,4.0,True,4.541405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
29,clusterOnce,7,163.51700954486938,34608255@N08,6,598.0471872050493,5.082810236600676,3.1947809878844406,True,4.138795612242559,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
30,clusterOnce,7,163.51700954486938,44124367522@N01,6,598.0471872050493,5.082810236600676,0.01064458900059138,True,2.546727412800634,0.0019480293595853524,0.0,7-21-22-7-11-7-1-7,random,2.0
31,clusterOnce,7,163.51700954486938,33246890@N00,6,598.0471872050493,5.082810236600676,1.0,True,3.041405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
32,clusterOnce,7,163.51700954486938,14816925@N00,6,598.0471872050493,5.082810236600676,1.5329855663633554,True,3.307897901482016,0.2571383746470043,0.09872136805773461,7-21-22-7-11-7-1-7,random,2.0
33,clusterOnce,7,163.51700954486938,86485258@N07,6,598.0471872050493,5.082810236600676,0.0,True,2.541405118300338,0.0,0.0,7-21-22-7-11-7-1-7,random,2.0
34,clusterOnce,7,163.51700954486938,10502709@N05,6,598.0471872050493,5.082810236600676,3.5060450066186153,True,4.294427621609646,0.7091925283129858,0.0,7-21-22-7-11-7-1-7,random,2.0
35,clusterOnce,7,163.51700954486938,29619840@N00,6,598.0471872050493,5.082810236600676,4.609561752988046,True,4.846185994794361,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
36,clusterOnce,7,163.51700954486938,94064020@N00,6,598.0471872050493,5.082810236600676,4.293295366295619,True,4.688052801448148,1.0,0.3936060056950547,7-21-22-7-11-7-1-7,random,2.0
37,clusterOnce,7,163.51700954486938,30855862@N07,6,598.0471872050493,5.082810236600676,4.0,True,4.541405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
38,clusterOnce,7,163.51700954486938,35034347371@N01,6,598.0471872050493,5.082810236600676,5.7360315186246424,True,5.409420877612659,1.0,0.11640401146131779,7-21-22-7-11-7-1-7,random,2.0
39,clusterOnce,7,163.51700954486938,66907518@N00,6,598.0471872050493,5.082810236600676,1.0,True,3.041405118300338,1.0,0.0,7-21-22-7-11-7-1-7,random,2.0
40,clusterOnce,7,163.51700954486938,7173709@N07,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
41,clusterOnce,7,163.51700954486938,53346833@N00,8,633.304949188952,4.708836310960888,2.2241835834068846,True,3.4665099471838863,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
42,clusterOnce,7,163.51700954486938,87085448@N00,8,633.304949188952,4.708836310960888,4.0,True,4.3544181554804435,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
43,clusterOnce,7,163.51700954486938,49689051@N00,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
44,clusterOnce,7,163.51700954486938,69874063@N00,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
45,clusterOnce,7,163.51700954486938,22292214@N00,8,633.304949188952,4.708836310960888,1.489361702127661,True,3.0990990065442743,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
46,clusterOnce,7,163.51700954486938,78433558@N00,8,633.304949188952,4.708836310960888,1.0,True,2.854418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
47,clusterOnce,7,163.51700954486938,37649829@N03,8,633.304949188952,4.708836310960888,0.0,True,2.354418155480444,0.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
48,clusterOnce,7,163.51700954486938,25561968@N00,8,633.304949188952,4.708836310960888,0.0,True,2.354418155480444,0.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
49,clusterOnce,7,163.51700954486938,70597029@N00,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
50,clusterOnce,7,163.51700954486938,23072179@N00,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
51,clusterOnce,7,163.51700954486938,22057420@N00,8,633.304949188952,4.708836310960888,4.0,True,4.3544181554804435,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
52,clusterOnce,7,163.51700954486938,14125170@N02,8,633.304949188952,4.708836310960888,2.0,True,3.354418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
53,clusterOnce,7,163.51700954486938,75396048@N00,8,633.304949188952,4.708836310960888,2.076363636363636,True,3.392599973662262,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
54,clusterOnce,7,163.51700954486938,64085688@N00,8,633.304949188952,4.708836310960888,1.0,True,2.854418155480444,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
55,clusterOnce,7,163.51700954486938,40689227@N00,8,633.304949188952,4.708836310960888,4.0,True,4.3544181554804435,1.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
56,clusterOnce,7,163.51700954486938,23877016@N03,8,633.304949188952,4.708836310960888,0.0,True,2.354418155480444,0.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
57,clusterOnce,7,163.51700954486938,48085290@N00,8,633.304949188952,4.708836310960888,2.443938193343898,True,3.5763872521523927,1.0,0.006537242472266233,7-21-22-7-30-23-7-6-25-7,random,3.0
58,clusterOnce,7,163.51700954486938,93852598@N00,8,633.304949188952,4.708836310960888,0.0,True,2.354418155480444,0.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
59,clusterOnce,7,163.51700954486938,92354342@N00,8,633.304949188952,4.708836310960888,0.0,True,2.354418155480444,0.0,0.0,7-21-22-7-30-23-7-6-25-7,random,3.0
60,clusterOnce,7,163.51700954486938,21470941@N07,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
61,clusterOnce,7,163.51700954486938,37504944@N06,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
62,clusterOnce,7,163.51700954486938,28721558@N07,7,624.435606389711,4.926846933848382,1.9396927548266563,True,3.433269844337519,0.8494913846792614,0.0,7-21-22-7-11-7-23-6-7,random,4.0
63,clusterOnce,7,163.51700954486938,22168167@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
64,clusterOnce,7,163.51700954486938,51260381@N05,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
65,clusterOnce,7,163.51700954486938,57958712@N00,7,624.435606389711,4.926846933848382,1.9661202816576249,True,3.446483607753003,1.0,0.03618838739466704,7-21-22-7-11-7-23-6-7,random,4.0
66,clusterOnce,7,163.51700954486938,49576181@N00,7,624.435606389711,4.926846933848382,1.0,True,2.963423466924191,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
67,clusterOnce,7,163.51700954486938,31671926@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
68,clusterOnce,7,163.51700954486938,89461633@N00,7,624.435606389711,4.926846933848382,1.0,True,2.963423466924191,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
69,clusterOnce,7,163.51700954486938,37282294@N06,7,624.435606389711,4.926846933848382,6.849376658136315,True,5.888111795992348,1.0,0.5328457727795656,7-21-22-7-11-7-23-6-7,random,4.0
70,clusterOnce,7,163.51700954486938,20342758@N00,7,624.435606389711,4.926846933848382,4.21375288213753,True,4.570299907992956,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
71,clusterOnce,7,163.51700954486938,99906907@N00,7,624.435606389711,4.926846933848382,5.283771904680006,True,5.105309419264194,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
72,clusterOnce,7,163.51700954486938,41634302@N08,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
73,clusterOnce,7,163.51700954486938,34359854@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
74,clusterOnce,7,163.51700954486938,30460784@N04,7,624.435606389711,4.926846933848382,2.0,True,3.463423466924191,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
75,clusterOnce,7,163.51700954486938,63483222@N03,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
76,clusterOnce,7,163.51700954486938,84800532@N02,7,624.435606389711,4.926846933848382,1.2647427854454205,True,3.0957948596469014,0.2529485570890841,0.0,7-21-22-7-11-7-23-6-7,random,4.0
77,clusterOnce,7,163.51700954486938,7159179@N03,7,624.435606389711,4.926846933848382,0.4037774779779386,True,2.6653122059131604,0.2018887389889693,0.0,7-21-22-7-11-7-23-6-7,random,4.0
78,clusterOnce,7,163.51700954486938,31499593@N03,7,624.435606389711,4.926846933848382,5.001782638545945,True,4.964314786197164,1.0,0.0001204485504016962,7-21-22-7-11-7-23-6-7,random,4.0
79,clusterOnce,7,163.51700954486938,9492113@N02,7,624.435606389711,4.926846933848382,1.0586490444185785,True,2.9927479891334805,1.0,0.0,7-21-22-7-11-7-23-6-7,random,4.0
80,clusterOnce,7,163.51700954486938,77356400@N00,7,624.435606389711,4.926846933848382,4.816354816354818,True,4.8716008751016,0.9632709632709636,0.0,7-21-22-7-11-7-6-23-7,random,5.0
81,clusterOnce,7,163.51700954486938,23987663@N00,7,624.435606389711,4.926846933848382,1.0716332378223477,True,2.999240085835365,0.3334925183062711,0.05555555555555548,7-21-22-7-11-7-6-23-7,random,5.0
82,clusterOnce,7,163.51700954486938,93507286@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
83,clusterOnce,7,163.51700954486938,32876255@N06,7,624.435606389711,4.926846933848382,1.2474902398215273,True,3.0871685868349545,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
84,clusterOnce,7,163.51700954486938,33906853@N00,7,624.435606389711,4.926846933848382,5.112492419648271,True,5.019669676748327,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
85,clusterOnce,7,163.51700954486938,10517457@N04,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
86,clusterOnce,7,163.51700954486938,11531843@N07,7,624.435606389711,4.926846933848382,2.0,True,3.463423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
87,clusterOnce,7,163.51700954486938,35764233@N00,7,624.435606389711,4.926846933848382,1.4574015640005453,True,3.192124248924464,0.2651941281382899,0.006310879407326113,7-21-22-7-11-7-6-23-7,random,5.0
88,clusterOnce,7,163.51700954486938,7733020@N03,7,624.435606389711,4.926846933848382,0.0003813155386081983,True,2.4636141246934953,0.0003813155386081983,0.0,7-21-22-7-11-7-6-23-7,random,5.0
89,clusterOnce,7,163.51700954486938,81076746@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
90,clusterOnce,7,163.51700954486938,77112637@N00,7,624.435606389711,4.926846933848382,2.0122785377887418,True,3.469562735818562,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
91,clusterOnce,7,163.51700954486938,14351900@N00,7,624.435606389711,4.926846933848382,5.058202567760342,True,4.992524750804362,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
92,clusterOnce,7,163.51700954486938,12874594@N08,7,624.435606389711,4.926846933848382,5.820131442407465,True,5.373489188127923,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
93,clusterOnce,7,163.51700954486938,33228691@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
94,clusterOnce,7,163.51700954486938,93741870@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
95,clusterOnce,7,163.51700954486938,15273063@N00,7,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
96,clusterOnce,7,163.51700954486938,37449305@N07,7,624.435606389711,4.926846933848382,0.405701754385965,True,2.6662743441171735,0.081140350877193,0.0,7-21-22-7-11-7-6-23-7,random,5.0
97,clusterOnce,7,163.51700954486938,25970113@N08,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
98,clusterOnce,7,163.51700954486938,53874606@N00,7,624.435606389711,4.926846933848382,1.1199421965317902,True,3.023394565190086,0.22398843930635803,0.0,7-21-22-7-11-7-6-23-7,random,5.0
99,clusterOnce,7,163.51700954486938,38102495@N00,7,624.435606389711,4.926846933848382,5.0,True,4.963423466924191,1.0,0.0,7-21-22-7-11-7-6-23-7,random,5.0
100,ClusterPerDay,7,163.51700954486938,25561968@N00,5,624.435606389711,4.926846933848382,0.0,True,2.463423466924191,0.0,0.0,7-21-22-7-11-7-23-6-7,randomByDay,
